two_days,seven_days,twenty_eight_days
3.21,3.51,4.47
3.3,3.43,4.74
3.55,3.67,5.12
2.86,3.36,4.88
2.22,3.99,4.45
3.07,3.63,4.08
3.77,4.57,5.39
3.27,3.7,4.89
3.17,3.66,4.1
2.9,3.25,4.22
2.63,2.85,3.84
2.83,3.34,4.29
2.94,3.63,4.6
3.12,3.68,4.61
2.99,3.48,4.69
3.14,3.61,4.88
2.75,3.25,3.43
3.21,3.54,4.27
2.2,4.01,4.49
3.04,3.6,5.22
1.64,2.28,3.33
3.35,3.91,5.1
2.9,2.92,4.72
2.85,4.53,4.74
2.21,2.28,4.61
1.99,3.92,4.67
3.08,3.14,4.72
3.34,3.58,4.65
2.32,4.07,4.68
3.69,3.81,4.45
3.76,4.13,4.9
3.61,3.72,4.71
2.01,2.69,4.2
2.5,3.23,4.65
3.21,3.59,4.73
2.06,2.95,4.7
3.43,4.03,4.47
2.01,3.69,4.33
3.93,4.18,4.95
3.16,3.43,4.46
